date, time, filename, axPower, aPower Relative Intensity, aBikeScore, Skiba aVI, aPower Response Index, aNP, aIF, aTSS, aVI, aPower Efficiency Factor, aTSS per hour, Aerobic Decoupling, Activities, To Exhaustion, Duration, Time Moving, Time Carrying (Est), Elevation Gain Carrying (Est), Distance, Climb Rating, Athlete Weight, Athlete Bodyfat, Athlete Lean Weight, Athlete Bodyfat Percent, Elevation Gain, Elevation Loss, Work, Average Speed, Average Power, Average SmO2, Average tHb, Average aPower, Nonzero Average Power, Average Heart Rate, Average Core Temperature, Heartbeats, HrPw Ratio, Workbeat stress, Watts:RPE Ratio, Power Percent of Max, HrNp Ratio, Average Cadence, Average Temp, Max Power, Max SmO2, Max tHb, Min SmO2, Min tHb, Max Heartrate, Min Heartrate, Max Core Temperature, Max Speed, Max Cadence, Max Temp, Min Temp, 95% Heartrate, VAM, Effect of Altitude, Gradient, Average Power Variance, Max Power Variance, Average Left Torque Effectiveness, Average Right Torque Effectiveness, Average Left Pedal Smoothness, Average Right Pedal Smoothness, Average Left Pedal Center Offset, Average Right Pedal Center Offset, Average Left Power Phase Start, Average Right Power Phase Start, Average Left Power Phase End, Average Right Power Phase End, Average Left Peak Power Phase Start, Average Right Peak Power Phase Start, Average Left Peak Power Phase End, Average Right Peak Power Phase End, Average Left Power Phase Length, Average Right Power Phase Length, Average Left Peak Power Phase Length, Average Right Peak Power Phase Length, Calories (HR), Checksum, Aerobic TISS, Anaerobic TISS, Critical Power, xPower, Relative Intensity, BikeScore, Skiba VI, TISS Aerobicity, Response Index, NP, IF, TSS, VI, Efficiency Factor, TSS per hour, Exhaustion Best R, Daniels Points, Daniels EqP, LNP, RTP, xPace, IWF, GOVSS, H1 Time in Zone, H2 Time in Zone, H3 Time in Zone, H4 Time in Zone, H5 Time in Zone, H6 Time in Zone, H7 Time in Zone, H8 Time in Zone, H9 Time in Zone, H10 Time in Zone, H1 Percent in Zone, H2 Percent in Zone, H3 Percent in Zone, H4 Percent in Zone, H5 Percent in Zone, H6 Percent in Zone, H7 Percent in Zone, H8 Percent in Zone, H9 Percent in Zone, H10 Percent in Zone, Left/Right Balance, P1 Time in Pace Zone, P2 Time in Pace Zone, P3 Time in Pace Zone, P4 Time in Pace Zone, P5 Time in Pace Zone, P6 Time in Pace Zone, P7 Time in Pace Zone, P8 Time in Pace Zone, P9 Time in Pace Zone, P10 Time in Pace Zone, P1 Percent in Pace Zone, P2 Percent in Pace Zone, P3 Percent in Pace Zone, P4 Percent in Pace Zone, P5 Percent in Pace Zone, P6 Percent in Pace Zone, P7 Percent in Pace Zone, P8 Percent in Pace Zone, P9 Percent in Pace Zone, P10 Percent in Pace Zone, 10 sec Peak Pace, 15 sec Peak Pace, 20 sec Peak Pace, 30 sec Peak Pace, 1 min Peak Pace, 2 min Peak Pace, 3 min Peak Pace, 5 min Peak Pace, 8 min Peak Pace, 10 min Peak Pace, 20 min Peak Pace, 30 min Peak Pace, 60 min Peak Pace, 90 min Peak Pace, 10 sec Peak Pace Swim, 15 sec Peak Pace Swim, 20 sec Peak Pace Swim, 30 sec Peak Pace Swim, 1 min Peak Pace Swim, 2 min Peak Pace Swim, 3 min Peak Pace Swim, 5 min Peak Pace Swim, 8 min Peak Pace Swim, 10 min Peak Pace Swim, 20 min Peak Pace Swim, 30 min Peak Pace Swim, 60 min Peak Pace Swim, 90 min Peak Pace Swim, Best 50m, Best 100m, Best 200m, Best 400m, Best 500m, Best 800m, Best 1000m, Best 1500m, Best 2000m, Best 3000m, Best 4000m, Best 5000m, Best 10km, Best 15km, Best 20km, Best Half Marathon, Best 30km, Best 40km, Best Marathon, MMP Percentage, Power Zone, Fatigue Index, Pacing Index, 1 sec Peak Power, 5 sec Peak Power, 10 sec Peak Power, 15 sec Peak Power, 20 sec Peak Power, 30 sec Peak Power, 1 min Peak Power, 2 min Peak Power, 3 min Peak Power, 5 min Peak Power, 8 min Peak Power, 10 min Peak Power, 20 min Peak Power, 30 min Peak Power, 60 min Peak Power, 90 min Peak Power, 1 min Peak Power HR, 5 min Peak Power HR, 10 min Peak Power HR, 20 min Peak Power HR, 30 min Peak Power HR, 60 min Peak Power HR, Average Running Cadence, Max Running Cadence, Average Ground Contact Time, Average Vertical Oscillation, Pace, Efficiency Index, Average Stride Length, Distance Swim, Pace Swim, Swim Pace, Stroke Rate, Strokes Per Length, SWolf, Swim Pace Free, Swim Pace Back, Swim Pace Breast, Swim Pace Fly, L1 Sustained Time, L2 Sustained Time, L3 Sustained Time, L4 Sustained Time, L5 Sustained Time, L6 Sustained Time, L7 Sustained Time, L8 Sustained Time, L9 Sustained Time, L10 Sustained Time, xPower Swim, STP, xPace Swim, SRI, SwimScore, TriScore, L1 Time in Zone, L2 Time in Zone, L3 Time in Zone, L4 Time in Zone, L5 Time in Zone, L6 Time in Zone, L7 Time in Zone, L8 Time in Zone, L9 Time in Zone, L10 Time in Zone, L1 Percent in Zone, L2 Percent in Zone, L3 Percent in Zone, L4 Percent in Zone, L5 Percent in Zone, L6 Percent in Zone, L7 Percent in Zone, L8 Percent in Zone, L9 Percent in Zone, L10 Percent in Zone, TRIMP Points, TRIMP(100) Points, TRIMP Zonal Points, Session RPE, VDOT, TPace, 1 sec Peak WPK, 5 sec Peak WPK, 10 sec Peak WPK, 15 sec Peak WPK, 20 sec Peak WPK, 30 sec Peak WPK, 1 min Peak WPK, 5 min Peak WPK, 10 min Peak WPK, 20 min Peak WPK, 30 min Peak WPK, 60 min Peak WPK, Estimated VO2MAX, Watts Per Kilogram, Minimum W' bal, Max W' Expended, W'bal Matches, Maximum W'bal Match, W'bal TAU, W' Work, W' Power, W1 Above CP W'bal Low Fatigue, W2 Above CP W'bal Moderate Fatigue, W3 Above CP W'bal Heavy Fatigue, W4 Above CP W'bal Severe Fatigue, W1 W'bal Low Fatigue, W2 W'bal Moderate Fatigue, W3 W'bal Heavy Fatigue, W4 W'bal Severe Fatigue, W1 W'bal Work Low Fatigue, W2 W'bal Work Moderate Fatigue, W3 W'bal Work Heavy Fatigue, W4 W'bal Work Severe Fatigue, Below CP Work
05/16/12,15:57:57,2012_05_16_15_57_57.json,212.659,0.70886,53.5148,1.13323,1.53308,225.329,0.7511,59.9719,1.20075,1.62442,56.3117,14.7478,1,0,3834,3795,8,0,32.0859,0.02011,70,0,0,0,25.4,22.4,718.163,30.4372,187.657,0,0,187.672,215.535,138.713,37.8086,8847.6,1.35284,63.5402,0,18.7657,1.62428,96.62,15.4102,974,0,0,0,0,174,103,38.2531,54.0072,200,18,12,160,23.8498,0.00826,0.07916,64.7995,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.146,1.33718e+12,57.2721,4.16662,300,212.642,0.70881,53.5064,1.13314,93.2183,1.53296,225.309,0.77693,64.1678,1.20064,1.62428,60.2515,-255,26.882,213.186,0,0,0,0,0,9,550,2165,964,139,0,0,0,0,0,0.23474,14.3453,56.4684,25.1435,3.62546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.11667,0.25,0.58333,0.75,1.28333,1.65,2.41667,3.33333,5.2,7.1,8.91667,19.0667,29.15,38.55,40.7333,58.8167,0,0,60.5945,2.37762,98.9733,19.2666,974,935.8,903.2,769.467,631.4,484.267,340.75,283.842,272.344,238.982,237.675,231.356,221.613,209.457,191.759,0,157.017,146.841,147.453,145.12,143.746,139.569,96.62,200,0,0,1.97127,2.67577,5.52588,32085.9,0.19713,0,0,0,0,0,0,0,0,0,0,0,0,62,87,39,0,0,0,0,0,0,0,0,53.5064,1296,1289,644,289,141,105,63,0,0,0,33.8028,33.6202,16.7971,7.53782,3.67762,2.73865,1.64319,0,0,0,94.0059,71.2503,97.235,0,0,0,13.9143,13.3686,12.9029,10.9924,9.02,6.9181,4.86786,3.41404,3.30508,3.1659,2.99224,2.73941,43.8716,2.68081,8.80318,55.9841,6,6.808,456,37.018,9.67285,346,20,3,0,3642,180,12,0,669.864,42.036,6.238,0,681.145
05/16/12,17:21:23,2012_05_16_17_21_23.json,156.789,0.52263,7.54938,1.18344,1.2612,169.932,0.56644,8.86802,1.28264,1.36692,32.0853,11.2275,1,0,995,861,17,0,6.43573,0.00159,70,0,0,0,3.2,3.2,131.823,26.909,132.486,0,0,132.486,209.91,124.318,37.1424,2061.6,1.06571,2.71767,0,13.2486,1.36692,87.3992,15.6221,625,0,0,0,0,150,72,37.2971,35.5608,111,17,15,146,11.5779,0,0.04972,95.7428,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.973,1.33718e+12,9.94131,0.16347,300,156.789,0.52263,7.54938,1.18344,98.3822,1.2612,169.932,0.58597,9.49015,1.28264,1.36692,34.3362,-255,2.06334,162.588,0,0,0,0,0,123,341,458,73,0,0,0,0,0,0,12.3618,34.2714,46.0301,7.33668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.18333,0.36667,0.71667,0.91667,1.53333,1.93333,3.06667,4.28333,7.36667,10.1333,12.8667,0,0,0,0,0,0,0,37.2998,1.80295,97.12,21.1977,625,498,427.4,353.667,307.85,273.033,245.167,193.15,198.822,159.52,140.379,136.64,0,0,0,0,133.661,131.853,127.578,0,0,0,87.3992,111,0,0,2.22974,2.92925,5.87271,6435.73,0.22297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54938,513,261,116,51,19,15,20,0,0,0,51.5578,26.2312,11.6583,5.12563,1.90955,1.50754,2.01005,0,0,0,14.6864,11.1313,19.69,0,0,0,8.92857,7.11429,6.10571,5.05238,4.39786,3.90048,3.50238,2.27886,1.952,0,0,0,31.6117,1.89266,18.2577,8.71177,0,1.311,401,6.045,6.07538,66,0,0,0,995,0,0,0,135.761,0,0,0,125.778
05/18/12,13:13:42,2012_05_18_13_13_42.json,230.448,0.76816,34.6831,1.29678,1.62793,242.101,0.807,38.2794,1.36235,1.71025,65.1257,7.57631,1,0,2116,2057,0,0,19.0796,0.00215,70,0,0,0,6.4,58,376.031,33.4403,177.709,0,0,178.183,228.591,141.559,37.5199,4992.31,1.25537,18.7726,0,17.7709,1.70582,95.1205,19.9608,611,0,0,0,0,176,76,38.0442,54.3168,130,21,19,173,10.8885,0.26647,0.03354,77.0057,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.206,1.33734e+12,33.6737,0.5323,300,229.843,0.76614,34.5012,1.29337,98.4438,1.62366,241.474,0.83267,40.7528,1.35882,1.70582,69.3337,-255,20.2516,231.475,0,0,0,0,0,85,405,662,638,326,0,0,0,0,0,4.01701,19.1399,31.2854,30.1512,15.4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06667,0.11667,0.23333,0.46667,0.58333,0.95,1.23333,2.01667,2.85,4.56667,6.21667,8.11667,16.5333,26.1,0,0,0,0,0,55.8494,2.21181,98.8543,29.0849,611,541.4,486.9,483.8,479.8,454.967,397.333,357.042,348.944,292.322,258.258,242.373,229.434,192.363,0,0,162.085,161.669,151.818,152.223,142.099,0,95.1205,130,0,0,1.79424,3.0488,6.30451,19079.6,0.17942,0,0,0,0,0,0,0,0,0,0,0,0,246,50,0,0,0,0,0,0,0,0,0,34.5012,953,359,272,200,155,130,47,0,0,0,45.0378,16.966,12.8544,9.4518,7.32514,6.14367,2.22117,0,0,0,54.6745,41.4397,70.3733,0,0,0,8.72857,7.73429,6.95571,6.91143,6.85429,6.49952,5.67619,4.17602,3.46246,3.27763,2.74804,0,52.1011,2.53869,9.00312,54.9844,3,9.69,419,27.7405,13.1099,181,185,23,0,1659,424,33,0,262.453,115.643,10.987,0,348.291
05/18/12,13:53:44,2012_05_18_13_53_44.json,294.041,0.98014,27.2456,0.99396,1.69233,298.11,0.9937,28.0049,1.00772,1.71575,98.7442,10.8905,1,0,1021,1021,0,0,10.1462,0.00101,70,0,0,0,3.2,6.4,302.039,35.7751,295.827,0,0,296.265,298.163,173.749,37.3072,2956.63,1.70261,8.93019,0,29.5827,1.71319,95.0074,17.5632,503,0,0,0,0,177,155,37.6436,44.5788,114,18,17,176,11.2831,0.14811,0.03154,34.5065,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.052,1.33734e+12,28.8251,0.04186,300,293.601,0.97867,27.1642,0.99248,99.855,1.6898,297.665,1.02643,29.8802,1.00621,1.71319,105.356,-255,26.1383,293.941,0,0,0,0,0,0,0,0,8,1013,0,0,0,0,0,0,0,0,0.78355,99.2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333,0.15,0.3,0.58333,0.73333,1.16667,1.45,2.18333,2.95,4.55,6.3,7.98333,16.7667,0,0,0,0,0,0,91.8038,4.57393,77.1372,58.8124,503,468.2,399.8,377.2,366.85,361.033,348.467,333.717,332.422,327.61,311.1,308.54,0,0,0,0,167.407,173.445,173.374,0,0,0,95.0074,114,0,0,1.67714,2.01555,6.27538,10146.2,0.16771,0,0,0,0,0,0,0,0,0,0,0,691,322,0,0,0,0,0,0,0,0,0,0,27.1642,15,16,176,487,286,37,4,0,0,0,1.46915,1.56709,17.238,47.6983,28.0117,3.6239,0.39177,0,0,0,57.0825,43.2648,84.6833,0,0,0,7.18571,6.68857,5.71143,5.38857,5.24071,5.15762,4.9781,4.68014,4.40771,0,0,0,57.5455,4.22609,10.3246,48.3769,1,8.517,707,13.6045,13.3247,138,339,0,0,148,873,0,0,49.699,254.402,0,0,288.435
05/20/12,10:51:52,2012_05_20_10_51_52.json,233.434,0.77811,78.979,1.1963,1.5727,249.411,0.83137,88.0483,1.27818,1.68034,67.4987,17.3001,1,0,4696,4581,7,0,40.3985,0.00913,70,0,0,0,19.2,25.6,894.869,31.782,195.131,0,0,195.673,224.672,148.429,38.1002,11344.9,1.31464,101.522,0,19.5131,1.67572,92.6557,18.3513,939,0,0,0,0,181,86,38.677,46.9368,122,20,18,177,14.7189,0.27704,0.04753,60.7642,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086.17,1.3375e+12,77.021,3.09358,300,232.788,0.77596,78.5424,1.19299,96.1385,1.56835,248.725,0.85767,93.7076,1.27466,1.67572,71.8371,-255,47.2915,234.235,0,0,0,0,0,24,223,2154,837,1348,0,0,0,0,0,0.51107,4.74872,45.8688,17.8237,28.7053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06667,0.13333,0.28333,0.56667,0.7,1.15,1.41667,2.15,3,4.78333,6.48333,8.41667,17.5833,26.6,36.0333,38.2,54.4333,76.3167,0,63.5804,2.50218,98.935,20.7807,939,887,864.9,743.533,628.6,587.433,437.133,393.629,366.864,284.738,269.587,263.07,236.841,225.429,202.843,0,164.644,160.396,159.88,158.537,157.17,151.409,92.6557,122,0,0,1.88786,2.64812,6.01306,40398.5,0.18879,0,0,0,0,0,0,0,0,0,0,0,0,557,184,36,0,0,0,0,0,0,0,0,78.5424,1790,1166,362,535,461,180,92,0,0,0,38.1176,24.8296,7.70869,11.3927,9.81687,3.83305,1.95911,0,0,0,143.813,109.001,187.762,0,0,0,13.4143,12.6714,12.3557,10.6219,8.98,8.3919,6.24476,4.06769,3.75814,3.38345,3.22041,2.89775,50.9311,2.78758,7.22818,63.8591,8,11.465,435,57.402,12.5168,609,234,85,0,4015,559,122,0,700.806,156.764,37.539,0,837.467
05/23/12,09:31:41,2012_05_23_09_31_41.json,239.511,0.79837,95.3968,1.07209,1.56505,244.004,0.81335,96.9328,1.0922,1.5944,64.7658,14.7253,1,0,5388,5236,0,0,49.1984,0.00984,70,0,0,0,22,19,1178.47,33.8327,223.406,0,0,223.452,247.422,153.038,38.2745,13454.6,1.45981,158.558,0,22.3406,1.5941,91.5422,18.345,838,0,0,0,0,174,84,38.9579,44.9604,122,23,17,170,14.6993,0.02023,0.04472,54.5675,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302.12,1.33776e+12,95.6767,1.0816,300,239.465,0.79822,95.3602,1.07188,98.8822,1.56475,243.957,0.84123,103.693,1.09199,1.5941,69.2828,-255,60.7613,241.187,0,0,0,0,0,65,293,888,1854,2175,0,0,0,0,0,1.20638,5.43801,16.4811,34.4098,40.3675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333,0.15,0.28333,0.56667,0.7,1.11667,1.4,2.11667,2.83333,4.28333,5.76667,7.23333,15.0667,24.4167,33.1333,34.9667,50.2667,68.9333,73.4833,73.096,2.9,98.8067,26.6595,838,696.8,448.3,402.333,389.45,353.2,344.025,328.929,311.019,286.552,285.101,281.393,278.608,267.669,251.115,0,161.983,159.706,161.987,164.292,160.079,159.747,91.5422,122,0,0,1.77343,2.4528,6.39649,49198.4,0.17734,0,0,0,0,0,0,0,0,0,0,399,1130,121,0,7,0,0,0,0,0,0,0,0,95.3602,1016,1035,1415,1306,291,156,56,0,0,0,18.8567,19.2094,26.2621,24.239,5.40089,2.89532,1.03935,0,0,0,183.303,138.932,267.157,0,0,0,11.9714,9.95429,6.40429,5.74762,5.56357,5.04571,4.91464,4.0936,4.0199,3.98011,3.82384,3.58735,51.2108,3.19152,14.673,26.6352,1,3.586,509,38.472,7.29327,767,20,0,0,5316,72,0,0,1178.37,21.477,0,0,1140
05/25/12,10:22:56,2012_05_25_10_22_56.json,234.005,0.78002,90.6214,1.09146,1.51995,243.612,0.81204,94.7532,1.13627,1.58236,59.562,8.31108,1,0,5727,5143,3,0,46.9502,0.01599,70,0,0,0,27.4,42.9,1109.07,32.8834,214.396,0,0,214.401,244.882,153.955,38.2314,13273.5,1.39259,147.213,0,21.4396,1.58234,90.7784,25.1807,702,0,0,0,0,180,116,38.8216,49.122,115,28,24,176,17.2237,0.00216,0.05836,63.8899,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290.85,1.33793e+12,93.5379,1.17811,300,234.002,0.78001,90.6196,1.09145,98.7562,1.51994,243.609,0.84003,101.399,1.13626,1.58234,63.7392,-255,55.1375,236.458,0,0,0,0,0,0,107,839,3054,1173,0,0,0,0,0,0,1.86834,14.6499,53.3263,20.4819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06667,0.13333,0.25,0.5,0.63333,1.01667,1.28333,1.98333,2.8,4.38333,5.88333,7.35,15.05,23.55,32.2833,34.3167,51.0167,71.0167,84.7833,70.1693,2.82327,98.5755,30.5408,702,601.6,472.5,424.667,403.85,392.7,352.65,349.542,339.117,294.37,283.196,274.118,264.53,253.796,226.949,196.507,170.678,162.124,161.703,165.723,164.197,158.023,90.7784,115,0,0,1.82463,2.29561,6.42051,46950.2,0.18246,0,0,0,0,0,0,0,0,0,0,0,0,568,38,0,0,0,0,0,0,0,0,0,90.6196,1214,1354,1002,745,554,249,55,0,0,0,21.1978,23.6424,17.4961,13.0086,9.67348,4.34783,0.96036,0,0,0,183.953,139.424,218.292,0,0,0,10.0286,8.59429,6.75,6.06667,5.76929,5.61,5.03786,4.20529,3.91598,3.779,3.62566,3.24213,52.4171,3.0628,10.0018,49.991,6,6.88,444,55.999,10.8253,568,547,0,0,4620,1107,0,0,800.71,295.464,0,0,1053.07
05/27/12,08:04:47,2012_05_27_08_04_47.json,167.794,0.55931,115.565,1.15369,1.34408,172.768,0.57589,122.37,1.18789,1.38392,33.1253,-0.82774,1,0,13299,13081,3,0,104.79,0.06766,70,0,0,0,84.2,103.4,1931.89,28.8412,145.441,0,0,145.442,176.477,124.839,37.9626,27637.3,1.16503,533.922,0,14.5441,1.38392,92.0909,24.4194,835,0,0,0,0,166,69,38.7755,38.718,129,30,20,157,22.7927,0.00098,0.08035,52.6729,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2326.05,1.3381e+12,103.349,1.44867,300,167.793,0.55931,115.564,1.15369,98.6176,1.34408,172.767,0.59575,130.954,1.18789,1.38392,35.4489,-255,36.1518,168.488,0,0,0,0,0,895,7824,2799,1610,155,0,0,0,0,0,6.72983,58.8315,21.0467,12.1062,1.1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333,0.16667,0.33333,0.66667,0.83333,1.33333,1.66667,2.53333,3.4,5.3,7.15,9.16667,18.7667,28.5333,38.9333,41.15,59.8333,80.9,86.2,47.832,1.88146,98.8024,17.4181,835,749.4,408.4,350.8,348.3,306.167,291.283,257.117,243.325,236.823,224.777,218.902,208.289,206.156,188.666,172.357,143.068,155.351,157.447,155.318,152.592,142.781,92.0909,129,0,0,2.08036,3.25085,5.67273,104790,0.20804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,115.564,7000,4398,1206,411,147,77,44,0,0,0,52.6355,33.0702,9.06835,3.09046,1.10535,0.57899,0.33085,0,0,0,226.289,171.512,279.428,0,0,0,11.9286,10.7057,5.83429,5.01143,4.97571,4.37381,4.16119,3.38319,3.12717,2.97556,2.94508,2.69523,43.5385,2.07773,15.6397,21.8014,0,1.961,435,24.219,1.82331,442,0,0,0,13299,0,0,0,1919.45,0,0,0,1907.67
05/30/12,17:10:02,2012_05_30_17_10_02.json,214.458,0.71486,113.745,1.10535,1.5277,225.319,0.75106,117.332,1.16133,1.60507,50.8663,20.7254,1,0,8304,7449,7,0,66.6259,0.01735,70,0,0,0,34,56.4,1452.8,32.2167,194.017,0,0,194.017,222.379,140.379,38.1706,17519.3,1.38209,254.52,0,19.4017,1.60507,92.6664,24.26,714,0,0,0,0,174,98,38.5258,47.4912,121,27,22,168,14.7399,0,0.05103,59.1278,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615.49,1.33839e+12,109.454,1.09411,300,214.458,0.71486,113.745,1.10535,99.0103,1.5277,225.319,0.77696,125.563,1.16133,1.60507,54.4348,-255,58.1265,218.407,0,0,0,0,0,13,1396,3578,1813,688,0,0,0,0,0,0.15655,16.8112,43.0877,21.8329,8.28516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06667,0.13333,0.26667,0.53333,0.65,1.06667,1.36667,2.2,3,4.55,6.21667,8.2,16.8833,25.9333,37.1167,39.3833,57.8833,77.2833,81.8667,63.8638,2.48362,98.5994,27.1732,714,632.4,509.4,481.6,447.5,378.667,356.767,348.708,332.694,307.943,290.342,279.851,263.099,241.426,188.791,181.743,163.034,167.674,164.416,160.366,154.759,149.986,92.6664,121,0,0,1.86239,2.48256,6.23892,66625.9,0.18624,0,0,0,0,0,0,0,0,0,0,0,471,402,47,9,0,0,0,0,0,0,0,0,113.745,2329,2306,1112,869,586,221,65,0,0,0,28.0467,27.7697,13.3911,10.4648,7.05684,2.66137,0.78276,0,0,0,192.313,145.761,215.115,0,0,0,10.2,9.03429,7.27714,6.88,6.39286,5.40952,5.09667,4.39919,3.99787,3.75855,3.44894,2.69702,54.5113,2.77167,6.49034,67.5483,9,6.514,441,55.2045,7.3724,767,302,256,0,7234,626,444,0,1224.86,155.894,134.158,0,1397.6
06/01/12,16:12:15,2012_06_01_16_12_15.json,264.805,0.88268,113.32,1.07363,1.73476,273.38,0.91127,114.412,1.1084,1.79093,78.6634,10.1495,1,0,5236,4937,12,3.4,47.2641,0.01497,70,0,0,0,26.6,33,1223.36,34.4853,246.645,0,0,246.882,279.114,152.647,38.2637,12618.8,1.61579,154.373,0,24.6645,1.78926,83.1495,17.6498,643,0,0,0,0,175,102,38.9154,44.5968,124,20,17,172,18.2888,0.09588,0.05628,64.9022,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.91,1.33856e+12,118.427,1.12989,300,264.558,0.88186,113.109,1.07263,99.0549,1.73314,273.125,0.94181,122.209,1.10736,1.78926,84.0248,-255,87.9619,268.476,0,0,0,0,0,8,251,1342,1454,1905,0,0,0,0,0,0.15279,4.79374,25.6303,27.7693,36.3827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333,0.15,0.28333,0.56667,0.7,1.13333,1.41667,2.13333,2.85,4.3,5.78333,7.26667,14.85,23.2833,32.4833,34.55,48.7333,67.0667,71.3667,80.7268,3.481,98.2893,38.3584,643,602.8,497.9,451.267,447.85,440.167,411.15,341.229,332.428,330.607,323.973,325.286,304.879,282.981,270.904,0,159.975,162.358,165.766,166.409,159.074,157.939,83.1495,124,0,0,1.73987,2.19723,7.33041,47264.1,0.17399,0,0,0,0,0,0,0,0,0,0,0,1477,1045,88,0,0,0,0,0,0,0,0,0,113.109,880,515,858,1388,935,306,78,0,0,0,16.8067,9.83575,16.3865,26.5088,17.8571,5.84416,1.48969,0,0,0,171.258,129.802,238.778,0,0,0,9.18571,8.61143,7.11286,6.44667,6.39786,6.2881,5.87357,4.72295,4.64694,4.35541,4.04258,3.87005,58.0079,3.5235,-9.3181,146.59,8,16.688,471,78.378,15.802,412,534,401,726,2313,1206,727,990,417.18,305.594,203.512,292.486,1144.98
