secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,23,95,0.004,7.8984,0,76,5,4.57884,51.5368,0,0,25,0,-255,0,0,0,0,0,0,0,0
2,25,93,0.006,10.4976,0,124,5,4.5788,51.5368,0,0,25,0,-255,0,0,0,0,0,0,0,0
3,29,91,0.01,12.2976,0,150,5,4.57876,51.5368,0,0,25,0,-255,0,0,0,0,0,0,0,0
4,36,91,0.014,14.1984,0,158,5,4.57871,51.5368,0,0,25,0,45,0,0,0,0,0,0,0,0
5,44,91,0.02,16.398,0,151,5,4.57865,51.5368,0,0,25,0,46,0,0,0,0,0,0,0,0
6,49,92,0.024,17.4996,0,163,5,4.57858,51.5368,0,0,25,0,46,0,0,0,0,0,0,0,0
7,54,92,0.028,18.198,0,147,5,4.57852,51.5368,0,0,25,0,47,0,0,0,0,0,0,0,0
8,58,95,0.035,18.7992,0,125,5,4.57845,51.5367,0,0,25,0,45,0,0,0,0,0,0,0,0
9,60,95,0.041,19.4976,0,114,5,4.57838,51.5367,0,0,25,0,44,0,0,0,0,0,0,0,0
10,61,97,0.045,19.998,0,124,5,4.57831,51.5367,0,3.55271e-16,25,0,43,0,0,0,0,0,0,0,0
11,63,97,0.051,20.7,0,132,5,4.57823,51.5367,0,3.55271e-16,25,0,41,0,0,0,0,0,0,0,0
12,65,97,0.057,21.2976,0,137,5,4.57815,51.5367,0,3.55271e-16,25,0,41,0,0,0,0,0,0,0,0
13,68,96,0.066,21.9996,0,142,5,4.57806,51.5367,0,3.55271e-16,25,0,43,0,0,0,0,0,0,0,0
14,70,96,0.072,22.5972,0,132,5,4.57798,51.5367,0,3.55271e-16,25,0,45,0,0,0,0,0,0,0,0
15,71,95,0.078,23.0976,0,131,5,4.57789,51.5366,0,3.55271e-16,25,0,47,0,0,0,0,0,0,0,0
16,74,96,0.084,23.4972,0,139,5,4.57781,51.5366,0,3.55271e-16,25,0,46,0,0,0,0,0,0,0,0
17,75,97,0.089,23.8968,0,144,5,4.57773,51.5366,0,3.55271e-16,25,0,46,0,0,0,0,0,0,0,0
18,77,97,0.099,24.498,0,143,5,4.57762,51.5366,0,3.55271e-16,25,0,47,0,0,0,0,0,0,0,0
19,78,99,0.105,24.9984,0,146,5,4.57752,51.5366,0,3.55271e-16,25,0,47,0,0,0,0,0,0,0,0
20,81,100,0.111,25.4988,0,160,5,4.57741,51.5366,0,3.55271e-16,25,0,47,0,0,0,0,0,0,0,0
21,82,101,0.12,26.1,0,182,4,4.5773,51.5366,0,-1.11111,25,0,48,0,0,0,0,0,0,0,0
22,84,102,0.126,26.4996,0,187,4,4.57719,51.5366,0,-1.11111,25,0,45,0,0,0,0,0,0,0,0
23,84,103,0.134,26.8992,0,165,4,4.57707,51.5365,0,-1.11111,25,0,46,0,0,0,0,0,0,0,0
24,87,104,0.142,27.2988,0,151,4,4.57696,51.5365,0,-1.11111,25,0,45,0,0,0,0,0,0,0,0
25,88,105,0.149,27.3996,0,151,4,4.57685,51.5365,0,-1.11111,25,0,45,0,0,0,0,0,0,0,0
26,89,106,0.157,27.6984,0,169,4,4.57673,51.5365,0,-1.11111,25,0,46,0,0,0,0,0,0,0,0
27,90,107,0.165,27.9,0,175,4,4.57661,51.5364,0,-1.11111,25,0,46,0,0,0,0,0,0,0,0
28,90,107,0.171,27.9,0,158,4,4.5765,51.5364,0,-1.11111,25,0,46,0,0,0,0,0,0,0,0
29,91,108,0.18,27.7992,0,158,4,4.5764,51.5364,0,-1.11111,25,0,45,0,0,0,0,0,0,0,0
30,91,109,0.188,27.9,0,159,4,4.5763,51.5363,0,-1.11111,25,0,45,0,0,0,0,0,0,0,0
31,91,109,0.196,27.5976,0,155,4,4.57619,51.5363,0,3.55271e-16,25,0,45,0,0,0,0,0,0,0,0
32,91,111,0.202,27.4968,0,135,4,4.57609,51.5363,0,3.55271e-16,25,0,46,0,0,0,0,0,0,0,0
33,91,111,0.211,27,0,112,4,4.57599,51.5362,0,3.55271e-16,25,0,48,0,0,0,0,0,0,0,0
34,90,112,0.217,26.5968,0,93,4,4.57589,51.5362,0,3.55271e-16,25,0,52,0,0,0,0,0,0,0,0
35,88,113,0.225,26.1972,0,48,4,4.57579,51.5362,0,3.55271e-16,25,0,41,0,0,0,0,0,0,0,0
36,83,113,0.231,26.7984,0,16,4,4.57568,51.5362,0,3.55271e-16,25,0,64,0,0,0,0,0,0,0,0
37,76,114,0.24,26.5968,0,74,4,4.5756,51.5362,0,3.55271e-16,25,0,64,0,0,0,0,0,0,0,0
